arg_id,Argument,Concern1
Depth1_44,A degree is important for a lot of careers and the idea of these costs will put a lot of students off studying to degree level.,career
Depth1_68,"For many young people, studying is the only way to achieve decent living conditions in the future. You may think about a slightly smaller fee or one that will be paid after graduation and finding the right job.",career
Depth1_5,better education for everyone leads to a better country with high paying and more successful jobs etc,career
Depth1_60,Fee free education will encourage more diversity in the student population and later in the workplace.,free
Depth1_1,"education should be free as well as health services , it should be a human right",free
Depth1_18,"It places a big financial burden onto the student, because they rarely have the money readily available.",student_finance
Depth1_23,It forces prospective students to take on significant debt. this will be a heavy burden to non-stem students who are likely to earn less than their counterparts.,student_finance
Depth1_73,living as a student is difficult enough just getting by with little side jobs . if a fee then has to be paid as well the students who are not so fortunate run the risk of ending up with huge debts .,student_finance
Depth1_73,living as a student is difficult enough just getting by with little side jobs . if a fee then has to be paid as well the students who are not so fortunate run the risk of ending up with huge debts .,career
Depth1_17,"the amount asked to be paid by the students is very high and most of them might need to take a student loan to continue their studies , placing them in debt even before they start to work .",student_finance
Depth1_11,"Education should be available for everyone , not for only ones who can afford it.",acc_aff
Depth1_6,"they are too high. not everyone can afford such an expense, therefore, knowledge is available for certain privileged groups only.",acc_aff
Depth1_9,9k fees maintain social injustices for those who can afford higher education and thus should be abolished in order to fight social inequality.,acc_aff
Depth1_53,"Higher education at bachelor-master level should be still widely accessible, and such a high fee certainly does not make it accessible.",acc_aff
Depth1_66,Education is essential to better civilisation and should be accessible by all those who desire to learn,acc_aff
Depth1_4,"everyone should have access to a free university education , regardless of their economic capacity",free
Depth3_11,"This entirely depends on the industry and type of job. For a job that requires a degree, work ethics and experience will not be enough.",career
Depth1_4,"everyone should have access to a free university education , regardless of their economic capacity",acc_aff
Depth3_21,A degree is important not only only for the better job perspectives but also for self confidence. The employer would hire someone with the High job ethics and experience AND the academic knowledge will  ,career
Depth3_31,With a degree you are able to expand on this work experience and if you have the opportunity to study for a degree and further your education you will stand a better chance when competing for jobs,career
Depth3_12,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.,gov_finance
Depth3_22,More likely to get jobs that earn decent wages and start contributing via Tax and ni,gov_finance
Depth3_12,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.,free
Depth3_32,"In Scotland, tertiary education is free, and nobody complains about how it is funded. ",free
Depth3_13,The student loan interest rates are quite high and students end up repaying much more than they initially borrowed. ,student_finance
Depth3_23,"It's ridiculous to saddle young people with lifelong debt because they want to be educated. Education should not see employment (and the ability to repay a loan) as the end goal, but rather as a human right. ",student_finance
Depth3_22,More likely to get jobs that earn decent wages and start contributing via Tax and ni,career
Depth3_33,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent.",gov_finance
Depth3_14,"Every job is becoming more and more specialized, further education does not produce only doctors and engineers, it also trains minds",career
Depth3_24,But why should somebody's background stop them from pursuing any career. A poor person can be just as good a medic as a rich person. ,acc_aff
Depth3_15,"Of course Universities need financial support too, it is a Government affair and support. When individuals decide to go to University, they hope to get high paid jobs,",gov_finance
Depth3_33,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent.",student_finance
Depth3_25,The prospect of having to pay back a loan once a certain level of income is reached may put young people off applying for jobs which will lead to a well paid career. ,student_finance
Depth3_16,Taking out a loan is not something that students should have to do to go to university as there is no guarantee they will be able to pay it off afterwards.,student_finance
Depth3_26,Burdening students with a large amount of debt is bad for personal finances across the country and bad for the economy in the long term.,student_finance
Depth3_34,the problem is that there isn't an equal opportunity to finance education through student loans. Those in less fortunate financial situations will still be far less inclined to take out loans.,student_finance
Depth3_41,There is equal opportunity but not always equal ability. Those from less privileged backgrounds might not be educated to know about funding or their parents might not be able to complete the application forms to get the students the means based funding.,acc_aff
Depth3_51,Many teenagers whose parents did not go to uni and never took a loan might be talked out by their parents,student_finance
Depth3_35,Students who have only just become legal adults should not have to take out a loan or get themselves into debt just to go to university as it is likely that at that age they will not understand the consequences of a loan.,student_finance
Depth3_42,"Students could find themselves deliberately only accepting low paid jobs, in order to avoid paying back the loan. If money is tight and their salary only just means they have to repay the loan, that might be a debt too far. ",career
Depth3_52,"Student loans only cover so much and only start after studying, you still need to put up a not insignificant amount of money to get going. And paying back the loans amounts to, in effect, a 9% tax on graduates.",gov_finance
Depth3_36,The more people in society from less privileged backgrounds who are able to attend university is good for society and therefore desirable.,acc_aff
Depth3_43,University was free for a long time as it was generally accepted to be a worthy investment in the country's future. Graduates free of debt have more income to place back into the economy.,student_finance
Depth3_53,"The government are still paying for the loans and probably won't see the money back when the loans are written off in 30 years time. Cheaper education and higher taxes is more sustainable than relying on students to pay back the loans, which they won't.",gov_finance
Depth3_44,Some people get in debt whilst at uni as they are unable to survive living costs due to low student low and drop out without completing their course,student_finance
Depth3_54,Yes but that is because there are more universities and more people than in the past. people also have more personal debt than ever before,student_finance
Depth3_45,"Some students will never afford to pay back the loans, as a lot of degrees do not result in a high paying job at the end.",acc_aff
Depth3_46,People most of the time dont pay it back fully and the interest is too high to make a reasonable dent so it is also hurting government funding,gov_finance
Depth3_55,Many students have issues taking out loans and just don't have the money to pay the extortionate fees. ,student_finance
Depth3_61,Young people from poorer backgrounds may have less financial backing and are unable to take on the large cost of doing a degree,acc_aff
Depth3_56,Even students loans are difficult to pay back not everyone gets a good paid job ,student_finance
Depth3_71,People shouldn't feel they can't apply for better paid jobs because they're afraid of having to pay back a huge debt. ,career
Depth3_91,The large interest rates associated with student loans mean that students will be paying loans back their entire working life,student_finance
Depth3_62,Students should be able to focus on their university course without worrying about having to pay back a student loan. ,student_finance
Depth3_72,Interest is added on and this added debt until you earn a certain amount still puts pressure on young people ,student_finance
Depth3_81,Other countries like Germany someone manage to have a fair tax system and free and excellent education,gov_finance
Depth3_63,Some families are from a poor background and would struggle to pay the university fees or get a loan. ,student_finance
Depth3_64,The government could cut down on prestige projects and arms and invest them into higher education instead,gov_finance
Depth3_73,"Everyone in society benefits from education- the social benefits of having trained doctors, teachers etc far out weights the cost of taxes. ",gov_finance
Depth3_82,A lot of universities make profit too. Those profits could be used to lower the fees. The government would not have to fund everything,gov_finance
Depth3_65,"There are countries where university is entirely free. 9k is a high amount, not to mention the interest rate on the student loans. Universities, even if not free, should be at least cheaper",student_finance
Depth3_74,"There is no guarantee that you will get a job after your degree. The student loan does take a significant percentage from your monthly wage slip, which doesn't seem fair.",student_finance
Depth3_83,As far as I understand you only have to pay back the money if you earn over a certain amount so ppl who cannot afford it are not expected to. ,acc_aff
